Price,Close,returns,filtered_returns,forward_returns,signal
Ticker,BTC-USD,,,,
Date,,,,,
2015-01-07,294.3370056152344,2.8470732229305185,2.8470732229305185,-9.262586291907883,True
2015-01-26,273.4729919433594,7.786199419605744,7.786199419605744,22.943181385895308,True
2015-02-14,257.3210144042969,9.299703207167,9.299703207167,5.996396750314505,True
2015-03-03,281.7019958496094,2.188116997881684,2.188116997881684,14.504272490717863,True
2015-03-11,296.3789978027344,1.583146381445455,1.583146381445455,6.558921266680639,True
2015-04-03,254.32200622558594,0.5205435929551916,0.5205435929551916,0.5009747188497,True
2015-05-22,240.34800720214844,2.126254838070518,2.126254838070518,1.188362816561717,True
2015-07-12,310.86700439453125,6.056331048085162,6.056331048085162,8.804426720667049,True
2015-09-06,239.83999633789062,2.051323170935593,2.051323170935593,4.227722972376402,True
2015-10-15,254.32000732421875,0.9250439208903893,0.9250439208903893,7.562993770765836,True
2015-10-16,262.8689880371094,3.3615053738151213,3.3615053738151213,10.105180109853528,True
2015-10-17,270.6400146484375,2.9562356021361813,2.9562356021361813,5.919807278628886,True
2015-10-24,281.65399169921875,1.8654842966854712,1.8654842966854712,8.187131906801781,True
2015-10-25,283.67999267578125,0.719322656973409,0.719322656973409,8.072526666861425,True
2015-10-26,285.29998779296875,0.5710642833521851,0.5710642833521851,8.760188824501803,True
2015-10-27,293.7879943847656,2.975116352951379,2.975116352951379,13.630736938451692,True
2015-10-28,304.6180114746094,3.686337528027095,3.686337528027095,13.752123308315657,True
2015-10-29,313.8550109863281,3.0323221752396767,3.0323221752396767,17.361285841745566,True
2015-10-30,328.0150146484375,4.51163854851635,4.51163854851635,11.273729712202428,True
2015-11-03,403.4169921875,11.691385221725149,11.691385221725149,31.60610113353565,True
2015-11-04,411.56298828125,2.0192496229717305,2.0192496229717305,22.448596399903977,True
2015-11-27,358.0419921875,1.5192075210770817,1.5192075210770817,9.223215557569684,True
2015-12-05,388.9490051269531,7.09449236987052,7.09449236987052,4.942716075668662,True
2016-02-14,407.2300109863281,3.922325884072131,3.922325884072131,7.046602709447155,True
2016-02-18,422.37298583984375,1.4534410875089776,1.4534410875089776,9.239664720813575,True
2016-04-21,449.42498779296875,1.8206117703021496,1.8206117703021496,3.706150104444181,True
2016-04-25,461.4259948730469,0.6260976858004863,0.6260976858004863,6.843766174009279,True
2016-04-26,466.0889892578125,1.0105617014595225,1.0105617014595225,0.9017985776110873,True
2016-05-27,473.4639892578125,4.428913780222743,4.428913780222743,18.670300361463074,True
2016-05-28,530.0399780273438,11.949375254117633,11.949375254117633,18.824139581690012,True
2016-06-13,704.3759765625,4.695709193584663,4.695709193584663,18.141769899360245,True
2016-09-04,608.6339721679688,1.7421913141426382,1.7421913141426382,5.600409567692816,True
2016-09-08,626.3159790039062,1.9155621948398593,1.9155621948398593,8.017088165376336,True
2016-10-27,688.31298828125,1.475587926682298,1.475587926682298,8.734122654768957,True
2016-12-02,777.9439697265625,2.7973983354282694,2.7973983354282694,4.814797259348175,True
2016-12-22,864.5399780273438,3.626952064766198,3.626952064766198,16.46504841033733,True
2016-12-23,921.9840087890625,6.644462051690336,6.644462051690336,13.198374777445629,True
2016-12-28,975.9210205078125,4.578130530750624,4.578130530750624,12.262758905464805,True
2017-01-03,1043.8399658203125,2.161973655034255,2.161973655034255,17.47292645632292,True
2017-01-04,1154.72998046875,10.623277348965399,10.623277348965399,5.4803535089533355,True
2017-02-02,1011.7999877929688,2.302977514468041,2.302977514468041,11.515657088196459,True
2017-02-03,1029.9100341796875,1.789884028979083,1.789884028979083,12.576874072733332,True
2017-02-04,1042.9000244140625,1.2612742670015331,1.2612742670015331,11.312096997110007,True
2017-02-18,1054.4200439453125,0.7847452532812271,0.7847452532812271,4.812601656898215,True
2017-03-03,1274.989990234375,1.9168496080413044,1.9168496080413044,9.432188366940881,True
2017-03-13,1231.9200439453125,0.8629614878549852,0.8629614878549852,1.983654275340438,True
2017-03-14,1240.0,0.6558831552744948,0.6558831552744948,8.769084850612504,True
2017-03-15,1249.6099853515625,0.7749988186743995,0.7749988186743995,0.47659197186931923,True
2017-03-21,1120.5400390625,6.289904463186113,6.289904463186113,-15.74200913096189,True
2017-04-02,1102.1700439453125,2.005557051856788,2.005557051856788,9.159746418096823,True
2017-04-03,1143.81005859375,3.778002757122989,3.778002757122989,8.104550439040246,True
2017-04-18,1211.6700439453125,1.4875500881293524,1.4875500881293524,0.877388779123752,True
2017-04-26,1281.0799560546875,1.231931184017121,1.231931184017121,7.106216022381269,True
2017-04-27,1317.72998046875,2.8608693970150645,2.8608693970150645,7.583320925200505,True
2017-05-02,1452.8199462890625,2.1961150280870756,2.1961150280870756,15.373971525759574,True
2017-05-03,1490.0899658203125,2.5653570923533042,2.5653570923533042,15.706203164010287,True
2017-05-04,1537.6700439453125,3.1931010352657774,3.1931010352657774,16.957352113050067,True
2017-05-05,1555.449951171875,1.1562888473097388,1.1562888473097388,18.055178952830904,True
2017-05-06,1578.800048828125,1.501179619354387,1.501179619354387,17.214986077399683,True
2017-05-07,1596.7099609375,1.1344002758720828,1.1344002758720828,19.67775176331525,True
2017-05-08,1723.3499755859375,7.931309865072889,7.931309865072889,19.339066173189075,True
2017-05-09,1755.3599853515625,1.8574294379609002,1.8574294379609002,18.583595360366463,True
2017-05-10,1787.1300048828125,1.8098862795306925,1.8098862795306925,18.82840545850359,True
2017-05-11,1848.5699462890625,3.4379111334029044,3.4379111334029044,10.946379437749293,True
2017-05-19,1987.7099609375,5.245012852721076,5.245012852721076,14.950261043853493,True
2017-05-20,2084.72998046875,4.8809947848473145,4.8809947848473145,12.640601746925979,True
2017-05-24,2443.639892578125,5.310244475213688,5.310244475213688,20.91498973788381,True
2017-06-02,2488.550048828125,3.3502570701906764,3.3502570701906764,21.65142628524295,True
2017-06-03,2515.35009765625,1.0769342911445712,1.0769342911445712,15.775646700794772,True
2017-06-10,2947.7099609375,4.3876854240490815,4.3876854240490815,17.032987530698403,True
2017-07-04,2601.639892578125,1.465637821486343,1.465637821486343,1.1844213309588163,True
2017-08-05,3252.909912109375,12.328508084725742,12.328508084725742,16.39402765935509,True
2017-08-12,3884.7099609375,6.412330952976464,6.412330952976464,24.474760883298647,True
2017-08-13,4073.260009765625,4.853645464502643,4.853645464502643,25.52437135882406,True
2017-08-14,4325.1298828125,6.183496080363593,6.183496080363593,21.000096595962322,True
