,lag,p_pos_given_pos,p_neg_given_neg,p_pos_given_neg,p_neg_given_pos,persistence_score
0,1,0.9965156794425087,1.0,0.0,0.0,0.9982578397212544
1,2,0.9965156794425087,0.9957081545064378,0.0,0.0,0.9961119169744732
2,3,0.993006993006993,0.9957081545064378,0.0,0.0,0.9943575737567154
3,4,0.9895104895104895,0.9956896551724138,0.0,0.0,0.9926000723414516
4,5,0.9859649122807017,0.9956896551724138,0.0,0.0,0.9908272837265577
5,6,0.9859649122807017,0.9913419913419913,0.0,0.0,0.9886534518113466
6,7,0.9859154929577465,0.987012987012987,0.0,0.0,0.9864642399853667
7,8,0.9823321554770318,0.987012987012987,0.0,0.0,0.9846725712450094
8,9,0.9823321554770318,0.9826086956521739,0.0,0.0,0.9824704255646028
9,10,0.9787985865724381,0.982532751091703,0.0,0.0,0.9806656688320705
10,11,0.9787985865724381,0.9780701754385965,0.0,0.0,0.9784343810055174
11,12,0.9752650176678446,0.9779735682819384,0.0,0.0,0.9766192929748915
12,13,0.9716312056737588,0.9779735682819384,0.0,0.0,0.9748023869778486
13,14,0.9680851063829787,0.9778761061946902,0.0,0.0,0.9729806062888344
14,15,0.9680851063829787,0.9733333333333334,0.0,0.0,0.9707092198581561
15,16,0.9644128113879004,0.9733333333333334,0.0,0.0,0.9688730723606169
16,17,0.9644128113879004,0.96875,0.0,0.0,0.9665814056939501
17,18,0.9644128113879004,0.9641255605381166,0.0,0.0,0.9642691859630085
18,19,0.9607142857142857,0.9641255605381166,0.0,0.0,0.9624199231262012
19,20,0.956989247311828,0.9641255605381166,0.0,0.0,0.9605574039249722
20,21,0.953405017921147,0.963963963963964,0.0,0.0,0.9586844909425555
21,22,0.9498207885304659,0.9638009049773756,0.0,0.0,0.9568108467539207
22,23,0.9498207885304659,0.9590909090909091,0.0,0.0,0.9544558488106876
23,24,0.9460431654676259,0.9590909090909091,0.0,0.0,0.9525670372792675
24,25,0.9460431654676259,0.954337899543379,0.0,0.0,0.9501905325055024
25,26,0.9422382671480144,0.954337899543379,0.0,0.0,0.9482880833456967
26,27,0.9422382671480144,0.9495412844036697,0.0,0.0,0.945889775775842
27,28,0.9420289855072463,0.944954128440367,0.0,0.0,0.9434915569738067
28,29,0.9418181818181818,0.9403669724770642,0.0,0.0,0.9410925771476231
29,30,0.9416058394160584,0.9357798165137615,0.0,0.0,0.9386928279649099
30,31,0.9379562043795621,0.9354838709677419,0.0,0.0,0.936720037673652
31,32,0.9379562043795621,0.9305555555555556,0.0,0.0,0.9342558799675589
32,33,0.9340659340659341,0.9305555555555556,0.0,0.0,0.9323107448107448
33,34,0.9340659340659341,0.9255813953488372,0.0,0.0,0.9298236647073856
34,35,0.9301470588235294,0.9255813953488372,0.0,0.0,0.9278642270861833
35,36,0.9298892988929889,0.9209302325581395,0.0,0.0,0.9254097657255642
36,37,0.9259259259259259,0.9209302325581395,0.0,0.0,0.9234280792420327
37,38,0.9219330855018587,0.9209302325581395,0.0,0.0,0.9214316590299991
38,39,0.917910447761194,0.9209302325581395,0.0,0.0,0.9194203401596668
39,40,0.9138576779026217,0.9209302325581395,0.0,0.0,0.9173939552303807
40,41,0.9097744360902256,0.9209302325581395,0.0,0.0,0.9153523343241825
41,42,0.9060150375939849,0.9205607476635514,0.0,0.0,0.9132878926287682
42,43,0.9060150375939849,0.9154929577464789,0.0,0.0,0.9107539976702319
43,44,0.9018867924528302,0.9154929577464789,0.0,0.0,0.9086898750996546
44,45,0.8977272727272727,0.9154929577464789,0.0,0.0,0.9066101152368757
45,46,0.8939393939393939,0.9150943396226415,0.0,0.0,0.9045168667810177
46,47,0.8939393939393939,0.909952606635071,0.0,0.0,0.9019460002872325
47,48,0.8897338403041825,0.909952606635071,0.0,0.0,0.8998432234696268
48,49,0.8859315589353612,0.9095238095238095,0.0,0.0,0.8977276842295854
49,50,0.8821292775665399,0.9090909090909091,0.0,0.0,0.8956100933287245
